episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
123	39726	4	-1219.029	6.00	72.58878	356.98370	-242.811	28.134	-220.000	-383.462	-202.889	-198.000	0.000
124	39908	4	-1461.555	6.00	70.47121	360.08871	-229.805	-7.245	-240.000	-590.801	-211.704	-182.000	0.000
125	40037	1	1852.588	7.00	73.33980	360.28137	-188.436	39.206	-60.000	-180.840	-128.342	-129.000	2500.000
126	40227	4	-808.433	7.00	71.06444	363.69305	-213.085	11.400	0.000	-303.931	-112.817	-190.000	0.000
127	40420	4	-1421.274	7.00	74.41979	363.32092	-298.214	2.625	-360.000	-361.890	-210.796	-193.000	0.000
128	40610	4	-1360.396	7.00	71.64971	365.73355	-245.294	52.505	-340.000	-417.553	-220.053	-190.000	0.000
129	40772	2	-2901.663	7.00	73.69572	365.88699	-323.884	-9.542	-80.000	-260.470	-65.766	-162.000	-2000.000
130	40828	1	2323.796	8.00	72.65199	370.04465	-34.920	15.626	0.000	-74.105	-26.805	-56.000	2500.000
131	41005	4	-729.045	8.00	72.15134	367.72162	-261.739	18.739	-40.000	-188.523	-80.522	-177.000	0.000
132	41056	1	2359.481	9.00	73.27579	371.82056	-51.801	12.296	0.000	-31.644	-18.371	-51.000	2500.000
133	41108	2	-2281.368	9.00	69.46152	367.91888	-59.052	2.121	-60.000	-85.116	-27.321	-52.000	-2000.000
134	41201	2	-2588.032	9.00	72.75221	368.55011	-130.176	18.141	-140.000	-199.985	-43.012	-93.000	-2000.000
135	41361	4	-1028.216	9.00	71.72208	369.81406	-232.817	7.859	-140.000	-418.618	-84.640	-160.000	0.000
136	41441	2	-3332.940	9.00	74.44991	368.93195	-105.199	-2.614	-700.000	-346.329	-98.797	-80.000	-2000.000
137	41601	1	1921.053	10.00	70.80970	372.01514	-215.021	32.517	-80.000	-87.730	-68.712	-160.000	2500.000
138	41789	4	-1022.153	10.00	72.92395	371.76932	-198.578	6.354	0.000	-569.388	-72.542	-188.000	0.000
139	41864	2	-2617.918	10.00	70.19042	372.68118	-87.313	6.212	-160.000	-219.923	-81.894	-75.000	-2000.000
140	42075	2	-4511.478	10.00	73.84976	374.64709	-302.766	-0.160	-1120.000	-762.718	-114.834	-211.000	-2000.000
141	42289	4	-980.763	10.00	72.76308	375.87103	-317.147	10.601	0.000	-351.238	-108.979	-214.000	0.000
142	42322	2	-2678.625	10.00	76.02029	378.63684	-48.264	0.675	-420.000	-110.713	-67.322	-33.000	-2000.000
143	42544	4	-1362.028	9.00	70.06806	377.34402	-416.472	-17.658	-60.000	-487.015	-158.883	-222.000	0.000
144	42765	4	-1256.590	9.00	74.59846	380.29605	-362.079	-24.237	-60.000	-404.078	-185.195	-221.000	0.000
145	42802	2	-2630.888	9.00	71.44622	384.24655	-54.593	-1.606	-340.000	-101.920	-95.769	-37.000	-2000.000
146	43021	4	-830.766	9.00	72.16394	379.33188	-308.054	-4.827	0.000	-210.444	-88.441	-219.000	0.000
147	43247	4	-944.995	9.00	74.33227	382.21448	-361.893	31.303	0.000	-280.639	-107.766	-226.000	0.000
148	43277	2	-2648.830	9.00	69.43668	379.75278	-44.215	0.668	-400.000	-130.199	-45.085	-30.000	-2000.000
149	43336	1	2298.493	9.00	74.58395	383.87869	-45.376	12.770	0.000	-64.965	-44.937	-59.000	2500.000
150	43367	2	-2290.796	9.00	67.24596	386.60803	-29.286	0.106	-120.000	-94.666	-15.950	-31.000	-2000.000
151	43456	2	-2454.210	9.00	72.23710	378.99005	-87.747	17.237	-100.000	-145.902	-48.798	-89.000	-2000.000
152	43567	2	-2521.411	9.00	74.79810	383.98697	-151.719	13.396	-80.000	-109.110	-82.978	-111.000	-2000.000
153	43788	4	-1157.857	9.00	72.72694	386.62805	-387.399	-5.319	0.000	-427.417	-116.722	-221.000	0.000
154	43897	2	-2523.337	9.00	75.04790	388.22842	-149.183	29.606	-80.000	-143.394	-71.365	-109.000	-2000.000
155	44014	1	1819.022	10.00	72.40298	389.38965	-120.693	14.528	-140.000	-210.965	-106.849	-117.000	2500.000
156	44066	2	-2387.465	10.00	71.33430	388.20349	-42.474	4.896	-160.000	-110.631	-27.255	-52.000	-2000.000
157	44189	1	2097.249	11.00	73.03149	388.07590	-164.961	26.848	0.000	-92.677	-48.961	-123.000	2500.000
158	44230	2	-2333.475	11.00	74.06291	394.33987	-62.717	-3.347	-120.000	-71.380	-35.032	-41.000	-2000.000
159	44288	2	-2469.550	11.00	72.86164	390.88837	-70.055	4.583	-100.000	-156.864	-89.214	-58.000	-2000.000
160	44318	2	-2894.770	11.00	75.25571	393.66208	-49.772	1.688	-600.000	-138.775	-77.912	-30.000	-2000.000
161	44387	2	-2687.504	11.00	73.65591	392.75897	-79.868	2.345	-360.000	-92.336	-88.644	-69.000	-2000.000
162	44607	4	-1127.174	11.00	73.79809	393.21524	-288.097	10.984	-80.000	-353.442	-196.619	-220.000	0.000
163	44827	4	-1766.871	11.00	73.61586	396.33304	-293.173	39.161	-620.000	-469.107	-203.752	-220.000	0.000
164	45046	4	-1442.063	11.00	73.13217	392.81400	-354.717	-10.675	-260.000	-471.116	-126.555	-219.000	0.000
165	45141	2	-2527.045	11.00	71.15844	395.04010	-119.893	10.405	-160.000	-104.888	-57.669	-95.000	-2000.000
166	45234	2	-2521.426	11.00	73.40043	394.11227	-91.759	12.407	-120.000	-185.850	-43.223	-93.000	-2000.000
167	45304	1	2244.309	12.00	75.69624	396.28223	-71.977	13.071	0.000	-89.811	-36.973	-70.000	2500.000
168	45530	4	-946.911	12.00	74.24184	398.28891	-314.658	24.537	0.000	-335.333	-95.457	-226.000	0.000
169	45745	4	-1510.243	12.00	74.84447	399.32150	-313.082	-11.052	-200.000	-608.898	-162.212	-215.000	0.000
170	45957	4	-1410.348	12.00	73.10767	399.19794	-305.253	1.193	-180.000	-583.615	-130.673	-212.000	0.000
171	46085	2	-2573.238	12.00	73.56673	399.90137	-162.743	17.488	-60.000	-171.488	-68.496	-128.000	-2000.000
172	46117	2	-2676.854	12.00	76.42661	407.24908	-65.332	1.415	-380.000	-144.751	-56.187	-32.000	-2000.000
173	46335	4	-1097.507	12.00	73.32256	402.59195	-326.594	-18.271	-80.000	-349.336	-105.305	-218.000	0.000
174	46564	4	-1199.026	12.00	72.84033	405.21008	-359.198	4.646	0.000	-502.795	-112.679	-229.000	0.000
175	46771	2	-3296.947	12.00	72.20682	405.28607	-292.859	54.343	-500.000	-230.175	-121.256	-207.000	-2000.000
176	46990	4	-918.182	12.00	73.36265	407.67438	-329.920	34.973	0.000	-314.518	-89.717	-219.000	0.000
177	47020	2	-2392.452	12.00	70.75502	407.24792	-30.797	-0.034	-180.000	-106.801	-44.820	-30.000	-2000.000
178	47246	4	-1370.688	12.00	71.97633	406.78229	-257.533	3.148	-80.000	-711.401	-98.902	-226.000	0.000
179	47465	4	-822.974	12.00	73.27116	408.72104	-286.455	55.973	0.000	-261.114	-112.379	-219.000	0.000
180	47522	1	1872.158	13.00	69.92337	410.69507	-56.583	13.810	-320.000	-145.918	-62.151	-57.000	2500.000
181	47624	2	-2866.650	13.00	71.94252	409.71826	-167.081	-8.588	-240.000	-266.213	-82.769	-102.000	-2000.000
182	47736	2	-2741.095	13.00	73.60401	412.16287	-91.384	26.015	-280.000	-182.031	-101.695	-112.000	-2000.000
183	47960	4	-902.282	13.00	72.76167	412.23544	-344.847	11.988	0.000	-224.760	-120.662	-224.000	0.000
184	48173	4	-1983.483	13.00	73.32770	411.13647	-346.719	18.234	-780.000	-555.485	-106.512	-213.000	0.000
185	48300	1	1967.907	14.00	72.55931	411.89148	-128.534	27.220	0.000	-210.370	-93.410	-127.000	2500.000
186	48449	2	-2797.139	14.00	71.24921	411.77182	-222.872	6.502	-180.000	-175.462	-76.308	-149.000	-2000.000
