episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
121	41227	4	-0.448	3.00	0.27287	-17.92679	0.000	-0.220	-0.228	0.000	0.000	0.000	0.000
122	41283	2	-0.871	3.00	0.28795	-17.81153	0.000	0.475	-0.346	0.000	0.000	0.000	-1.000
123	41424	4	0.932	3.00	0.28429	-17.67301	0.000	0.932	0.000	0.000	0.000	0.000	0.000
124	41595	4	0.389	3.00	0.28619	-17.49700	0.000	1.102	-0.712	0.000	0.000	0.000	0.000
125	41786	4	0.482	3.00	0.27754	-17.29222	0.000	0.761	-0.279	0.000	0.000	0.000	0.000
126	41961	4	0.976	3.00	0.26577	-17.10079	0.000	1.542	-0.565	0.000	0.000	0.000	0.000
127	42126	4	-0.070	3.00	0.25765	-16.93942	0.000	0.892	-0.962	0.000	0.000	0.000	0.000
128	42303	4	0.894	3.00	0.26386	-16.73482	0.000	0.933	-0.040	0.000	0.000	0.000	0.000
129	42423	2	-2.232	3.00	0.28353	-16.56506	0.000	-1.164	-0.067	0.000	0.000	0.000	-1.000
130	42459	1	2.599	4.00	0.23540	-16.50597	0.000	1.599	0.000	0.000	0.000	0.000	1.000
131	42640	4	0.527	4.00	0.24189	-16.39600	0.000	0.571	-0.044	0.000	0.000	0.000	0.000
132	42823	4	0.695	4.00	0.26501	-16.18796	0.000	1.821	-1.127	0.000	0.000	0.000	0.000
133	42977	4	1.030	4.00	0.23839	-16.01030	0.000	1.030	0.000	0.000	0.000	0.000	0.000
134	43060	2	1.369	4.00	0.24050	-15.87240	0.000	2.409	-0.039	0.000	0.000	0.000	-1.000
135	43147	2	-1.863	4.00	0.25775	-15.78532	0.000	-0.334	-0.528	0.000	0.000	0.000	-1.000
136	43299	4	2.115	4.00	0.25283	-15.68628	0.000	3.030	-0.916	0.000	0.000	0.000	0.000
137	43339	2	-1.322	4.00	0.23292	-15.60579	0.000	0.237	-0.558	0.000	0.000	0.000	-1.000
138	43419	2	0.750	4.00	0.24852	-15.52186	0.000	1.986	-0.236	0.000	0.000	0.000	-1.000
139	43472	1	2.612	5.00	0.28936	-15.43313	0.000	1.612	0.000	0.000	0.000	0.000	1.000
140	43523	2	-0.646	5.00	0.25005	-15.38419	0.000	1.006	-0.652	0.000	0.000	0.000	-1.000
141	43677	4	1.768	5.00	0.23006	-15.29466	0.000	1.768	0.000	0.000	0.000	0.000	0.000
142	43828	2	-1.886	5.00	0.22848	-15.14249	0.000	-0.484	-0.402	0.000	0.000	0.000	-1.000
143	43885	1	2.553	6.00	0.24063	-15.05034	0.000	1.606	-0.053	0.000	0.000	0.000	1.000
144	44032	4	0.362	6.00	0.24366	-14.93964	0.000	0.510	-0.148	0.000	0.000	0.000	0.000
145	44183	4	1.945	6.00	0.22287	-14.80109	0.000	2.449	-0.504	0.000	0.000	0.000	0.000
146	44330	2	-2.082	6.00	0.24123	-14.64813	0.000	1.310	-2.392	0.000	0.000	0.000	-1.000
147	44461	1	2.798	7.00	0.22443	-14.52374	0.000	2.723	-0.925	0.000	0.000	0.000	1.000
148	44620	4	2.957	7.00	0.22155	-14.38593	0.000	3.012	-0.055	0.000	0.000	0.000	0.000
149	44688	2	-1.527	7.00	0.22863	-14.28455	0.000	-0.246	-0.282	0.000	0.000	0.000	-1.000
150	44723	2	-1.927	7.00	0.21974	-14.25331	0.000	-0.139	-0.788	0.000	0.000	0.000	-1.000
151	44870	2	-1.825	7.00	0.23330	-14.14111	0.000	0.192	-1.018	0.000	0.000	0.000	-1.000
152	44967	1	2.379	8.00	0.22352	-14.05014	0.000	1.662	-0.283	0.000	0.000	0.000	1.000
153	45155	4	3.732	8.00	0.22402	-13.91145	0.000	3.972	-0.240	0.000	0.000	0.000	0.000
154	45200	2	-2.550	8.00	0.21301	-13.79678	0.000	-0.158	-1.392	0.000	0.000	0.000	-1.000
155	45368	4	0.888	8.00	0.22535	-13.71943	0.000	1.252	-0.363	0.000	0.000	0.000	0.000
156	45537	4	0.983	8.00	0.22835	-13.56301	0.000	1.542	-0.559	0.000	0.000	0.000	0.000
157	45674	4	-0.168	8.00	0.21057	-13.42646	0.000	0.215	-0.382	0.000	0.000	0.000	0.000
158	45830	4	1.701	8.00	0.21163	-13.30079	0.000	2.351	-0.650	0.000	0.000	0.000	0.000
159	45976	4	0.912	7.00	0.21307	-13.16016	0.000	0.912	0.000	0.000	0.000	0.000	0.000
160	46145	2	-0.514	7.00	0.20553	-13.02096	0.000	2.202	-1.716	0.000	0.000	0.000	-1.000
161	46216	2	0.944	7.00	0.18700	-12.91847	0.000	2.116	-0.172	0.000	0.000	0.000	-1.000
162	46329	2	0.975	7.00	0.18363	-12.84858	0.000	2.643	-0.667	0.000	0.000	0.000	-1.000
163	46431	1	2.691	8.00	0.20019	-12.76316	0.000	2.699	-1.008	0.000	0.000	0.000	1.000
