gpu torch available:  True
Epi 68     | TIMEOUT     | steps 147  | total 33k   | 17.0s | MA100   3%
Epi 69     | COLL_WALL   | steps 32   | total 33k   |  3.6s | MA100   3%
Epi 70     | COLL_WALL   | steps 95   | total 33k   | 10.5s | MA100   3%
Epi 71     | COLL_WALL   | steps 56   | total 33k   |  6.4s | MA100   3%
Epi 72     | TIMEOUT     | steps 147  | total 33k   | 16.2s | MA100   3%
Epi 73     | COLL_WALL   | steps 32   | total 33k   |  3.7s | MA100   3%
Epi 74     | COLL_WALL   | steps 94   | total 34k   | 10.6s | MA100   3%
Epi 75     | TIMEOUT     | steps 143  | total 34k   | 15.7s | MA100   3%
Epi 76     | COLL_WALL   | steps 102  | total 34k   | 10.9s | MA100   3%
Epi 77     | TIMEOUT     | steps 130  | total 34k   | 14.7s | MA100   3%
Epi 78     | COLL_WALL   | steps 71   | total 34k   |  7.4s | MA100   3%
Epi 79     | TIMEOUT     | steps 136  | total 34k   | 15.3s | MA100   3%
Epi 80     | TIMEOUT     | steps 149  | total 34k   | 16.2s | MA100   2%
Epi 81     | COLL_WALL   | steps 125  | total 34k   | 13.8s | MA100   2%
Epi 82     | TIMEOUT     | steps 149  | total 35k   | 16.1s | MA100   2%
Epi 83     | TIMEOUT     | steps 147  | total 35k   | 16.0s | MA100   2%
Epi 84     | COLL_WALL   | steps 105  | total 35k   | 11.9s | MA100   2%
Epi 85     | COLL_WALL   | steps 115  | total 35k   | 12.5s | MA100   2%
Epi 86     | COLL_WALL   | steps 266  | total 35k   | 29.5s | MA100   2%
Epi 87     | TIMEOUT     | steps 153  | total 35k   | 16.5s | MA100   2%
Epi 88     | TIMEOUT     | steps 153  | total 35k   | 16.6s | MA100   2%
Epi 89     | COLL_WALL   | steps 39   | total 36k   |  4.3s | MA100   2%
Epi 90     | TIMEOUT     | steps 157  | total 36k   | 17.0s | MA100   2%
Epi 91     | COLL_WALL   | steps 189  | total 36k   | 20.7s | MA100   2%
Epi 92     | COLL_WALL   | steps 52   | total 36k   |  5.9s | MA100   2%
Epi 93     | TIMEOUT     | steps 149  | total 36k   | 16.1s | MA100   2%
Epi 94     | TIMEOUT     | steps 146  | total 36k   | 16.2s | MA100   2%
Epi 95     | COLL_WALL   | steps 68   | total 36k   |  6.9s | MA100   2%
Epi 96     | TIMEOUT     | steps 153  | total 36k   | 17.0s | MA100   2%
Epi 97     | TIMEOUT     | steps 147  | total 37k   | 15.5s | MA100   2%
Epi 98     | COLL_WALL   | steps 105  | total 37k   | 11.7s | MA100   2%
Epi 99     | TIMEOUT     | steps 204  | total 37k   | 22.6s | MA100   2%
Epi 100    | COLL_WALL   | steps 66   | total 37k   |  6.8s | MA100   2%
saving data for episode: 100, location: /home/kaushik/project/deep-rl-robot-navigation/src/turtlebot3_drl/model/fond-filly/sac_4_stage_9
saving actor model for episode: 100
saving critic model for episode: 100
saving target_critic model for episode: 100
[val] ep 100: 0.0% over 40 det. eps  |  best: -100.0% @ ep 0
[val] NEW BEST CHECKPOINT — ep 100, success 0.0%
Epi 101    | COLL_WALL   | steps 51   | total 37k   |  4.6s | MA100   2%
Epi 102    | TIMEOUT     | steps 154  | total 37k   | 16.3s | MA100   2%
Epi 103    | TIMEOUT     | steps 155  | total 37k   | 15.7s | MA100   2%
Epi 104    | TIMEOUT     | steps 161  | total 37k   | 16.5s | MA100   2%
Epi 105    | TIMEOUT     | steps 246  | total 38k   | 24.4s | MA100   2%
Epi 106    | TIMEOUT     | steps 255  | total 38k   | 25.6s | MA100   2%
Epi 107    | COLL_WALL   | steps 38   | total 38k   |  3.9s | MA100   2%
Epi 108    | TIMEOUT     | steps 205  | total 38k   | 21.0s | MA100   2%
Epi 109    | TIMEOUT     | steps 125  | total 38k   | 13.5s | MA100   2%
Epi 110    | TIMEOUT     | steps 125  | total 38k   | 13.0s | MA100   2%
Epi 111    | TIMEOUT     | steps 176  | total 39k   | 18.4s | MA100   2%
Epi 112    | TIMEOUT     | steps 221  | total 39k   | 23.2s | MA100   2%
Epi 113    | TIMEOUT     | steps 152  | total 39k   | 15.7s | MA100   2%
Epi 114    | TIMEOUT     | steps 162  | total 39k   | 16.9s | MA100   2%
Epi 115    | TIMEOUT     | steps 139  | total 39k   | 14.7s | MA100   2%
Epi 116    | COLL_WALL   | steps 126  | total 39k   | 13.9s | MA100   2%
Epi 117    | SUCCESS     | steps 74   | total 40k   |  7.6s | MA100   3%
Epi 118    | TIMEOUT     | steps 128  | total 40k   | 14.4s | MA100   2%
Epi 119    | COLL_WALL   | steps 68   | total 40k   |  7.2s | MA100   2%
Epi 120    | COLL_WALL   | steps 69   | total 40k   |  7.7s | MA100   2%
Epi 121    | TIMEOUT     | steps 138  | total 40k   | 14.6s | MA100   2%
Epi 122    | TIMEOUT     | steps 150  | total 40k   | 16.7s | MA100   2%
Epi 123    | TIMEOUT     | steps 164  | total 40k   | 17.6s | MA100   2%
Epi 124    | COLL_WALL   | steps 100  | total 40k   | 11.0s | MA100   2%
Epi 125    | TIMEOUT     | steps 149  | total 40k   | 16.1s | MA100   2%
Epi 126    | TIMEOUT     | steps 178  | total 41k   | 18.5s | MA100   2%
Epi 127    | TIMEOUT     | steps 161  | total 41k   | 16.4s | MA100   2%
Epi 128    | TIMEOUT     | steps 150  | total 41k   | 15.7s | MA100   2%
Epi 129    | COLL_WALL   | steps 46   | total 41k   |  4.4s | MA100   2%
Epi 130    | TIMEOUT     | steps 154  | total 41k   | 16.7s | MA100   2%
