episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
98	36689	2	-1.398	2.04	0.86856	-53.59628	0.000	-0.398	0.000	0.000	0.000	0.000	-1.000
99	36893	4	0.103	2.02	0.88406	-53.11691	0.000	0.103	0.000	0.000	0.000	0.000	0.000
100	36959	2	-0.901	2.00	0.87549	-52.78906	0.000	0.099	0.000	0.000	0.000	0.000	-1.000
101	37010	2	-0.662	2.00	0.90379	-52.54311	0.000	0.338	0.000	0.000	0.000	0.000	-1.000
102	37164	4	0.359	2.00	0.84087	-52.29824	0.000	0.359	0.000	0.000	0.000	0.000	0.000
103	37319	4	-0.165	2.00	0.90722	-51.82668	0.000	-0.165	0.000	0.000	0.000	0.000	0.000
104	37480	4	0.535	2.00	0.85368	-51.36189	0.000	0.535	0.000	0.000	0.000	0.000	0.000
105	37726	4	-0.734	2.00	0.88848	-50.78935	0.000	-0.734	0.000	0.000	0.000	0.000	0.000
106	37981	4	-0.139	2.00	0.82644	-50.12002	0.000	-0.139	0.000	0.000	0.000	0.000	0.000
107	38019	2	-0.980	2.00	0.78870	-49.67998	0.000	0.020	0.000	0.000	0.000	0.000	-1.000
108	38224	4	0.847	2.00	0.80621	-49.35140	0.000	0.847	0.000	0.000	0.000	0.000	0.000
109	38349	4	-0.422	2.00	0.77253	-48.90230	0.000	-0.422	0.000	0.000	0.000	0.000	0.000
110	38474	4	-1.110	2.00	0.77262	-48.59515	0.000	-1.110	0.000	0.000	0.000	0.000	0.000
111	38650	4	-0.143	2.00	0.77714	-48.17395	0.000	-0.143	0.000	0.000	0.000	0.000	0.000
112	38871	4	-0.056	2.00	0.75559	-47.64776	0.000	-0.056	0.000	0.000	0.000	0.000	0.000
113	39023	4	0.168	2.00	0.71081	-47.18799	0.000	0.168	0.000	0.000	0.000	0.000	0.000
114	39185	4	1.001	2.00	0.65728	-46.76939	0.000	1.001	0.000	0.000	0.000	0.000	0.000
115	39324	4	0.927	2.00	0.69856	-46.38522	0.000	0.927	0.000	0.000	0.000	0.000	0.000
116	39450	2	0.537	2.00	0.70269	-46.05324	0.000	1.537	0.000	0.000	0.000	0.000	-1.000
117	39524	1	2.607	3.00	0.73928	-45.78527	0.000	1.607	0.000	0.000	0.000	0.000	1.000
118	39652	4	0.901	2.00	0.65900	-45.53408	0.000	0.901	0.000	0.000	0.000	0.000	0.000
119	39720	2	-0.167	2.00	0.66124	-45.27444	0.000	0.833	0.000	0.000	0.000	0.000	-1.000
120	39789	2	-0.958	2.00	0.64578	-45.13384	0.000	0.042	0.000	0.000	0.000	0.000	-1.000
121	39927	4	-0.394	2.00	0.65860	-44.86663	0.000	-0.394	0.000	0.000	0.000	0.000	0.000
