episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
104	32922	2	-2346.956	11.00	26.20684	173.73517	-66.969	2.215	-120.000	-8.752	-98.449	-55.000	-2000.000
105	32957	2	-2430.022	11.00	24.53218	174.14949	-35.063	2.843	-240.000	-10.929	-111.873	-35.000	-2000.000
106	32987	2	-2733.206	11.00	23.10716	171.64493	-55.837	-0.790	-560.000	-2.828	-83.752	-30.000	-2000.000
107	33136	1	1814.358	12.00	27.39851	174.86836	-173.001	60.975	-180.000	-18.215	-226.400	-149.000	2500.000
108	33189	2	-2189.531	12.00	27.86926	176.22885	-40.888	7.757	-40.000	-0.530	-62.870	-53.000	-2000.000
109	33228	1	2400.777	13.00	28.07640	177.17966	-23.832	12.146	0.000	-0.542	-47.995	-39.000	2500.000
110	33280	2	-2232.484	13.00	26.09202	176.16022	-61.023	7.666	-60.000	-2.289	-64.838	-52.000	-2000.000
111	33362	2	-2385.304	13.00	28.74432	177.68163	-108.264	1.559	-60.000	-12.619	-123.980	-82.000	-2000.000
112	33495	2	-2928.126	13.00	26.74873	177.24274	-195.263	6.020	-400.000	-7.369	-198.514	-133.000	-2000.000
113	33570	2	-2490.674	13.00	27.15683	177.65787	-81.942	13.186	-240.000	-2.575	-104.343	-75.000	-2000.000
114	33787	4	-1083.597	13.00	26.50916	179.39867	-353.501	6.596	-160.000	-13.777	-345.915	-217.000	0.000
115	33837	2	-2249.553	13.00	28.81416	180.31129	-75.227	-1.141	-40.000	-0.529	-82.656	-50.000	-2000.000
116	33920	1	2134.884	14.00	27.23495	180.28952	-93.721	6.345	-80.000	-6.543	-108.196	-83.000	2500.000
117	34032	2	-2599.965	14.00	26.35835	180.48756	-164.069	3.818	-160.000	-2.208	-165.505	-112.000	-2000.000
118	34114	2	-2617.404	14.00	28.59649	182.58188	-130.607	-3.070	-240.000	-2.363	-159.364	-82.000	-2000.000
119	34273	2	-2759.073	14.00	27.91318	182.30763	-244.579	-0.568	-140.000	-4.166	-210.759	-159.000	-2000.000
120	34303	2	-2183.443	14.00	26.07872	182.15514	-23.379	2.799	-80.000	-0.129	-52.734	-30.000	-2000.000
121	34371	2	-2544.116	14.00	26.95159	183.53175	-75.474	10.124	-300.000	-1.998	-108.768	-68.000	-2000.000
122	34414	1	2344.108	14.00	26.18719	183.75691	-44.784	14.583	0.000	-5.913	-76.778	-43.000	2500.000
123	34486	2	-2357.106	14.00	27.51529	184.93536	-67.901	12.642	-80.000	-9.257	-140.590	-72.000	-2000.000
124	34567	2	-2373.392	14.00	26.83634	183.78763	-105.991	27.140	-60.000	-4.287	-149.254	-81.000	-2000.000
125	34719	2	-2732.536	14.00	28.62020	184.95723	-206.354	15.804	-100.000	-8.623	-281.363	-152.000	-2000.000
126	34770	2	-2390.619	14.00	27.83348	186.81461	-60.743	3.887	-200.000	-1.283	-81.480	-51.000	-2000.000
127	34845	2	-2325.009	14.00	28.77892	186.22311	-103.125	1.068	-60.000	-6.667	-81.286	-75.000	-2000.000
128	34930	2	-2491.222	14.00	27.35360	186.60368	-130.099	1.641	-80.000	-0.049	-197.715	-85.000	-2000.000
129	34982	2	-2364.567	14.00	26.39246	185.97614	-51.265	6.917	-200.000	-8.010	-60.209	-52.000	-2000.000
